method,task,unit,rmse,crps
LMC semivariogram,random_holdout,17,0.36658954667067495,0.18139206755160694
LMC semivariogram,random_holdout,18,0.36883621769659447,0.18245988935428312
LMC semivariogram,random_holdout,19,0.3703168950447451,0.18135247250779
LMC semivariogram,random_holdout,2,0.3713285047333419,0.18368700956909928
LMC semivariogram,random_holdout,3,0.35835217628529104,0.17704719445174266
LMC semivariogram,random_holdout,4,0.36685649551638894,0.18000278920712234
LMC semivariogram,random_holdout,5,0.36637457326888156,0.18196877244540008
LMC semivariogram,random_holdout,6,0.3659340503933443,0.1797168365073535
LMC semivariogram,random_holdout,7,0.36483955063073853,0.17897521058213303
LMC semivariogram,random_holdout,8,0.3655224540283573,0.1801570154280605
LMC semivariogram,random_holdout,9,0.3647712859772736,0.18067853241806947
LMC semivariogram,station_holdout,0,0.7865387282949807,0.4346610688388049
LMC semivariogram,station_holdout,1,0.7765572769232794,0.4268944720825658
LMC semivariogram,station_holdout,10,0.823437793135197,0.43605536573473797
LMC semivariogram,station_holdout,11,0.7906136796875599,0.42416827680331154
LMC semivariogram,station_holdout,12,0.8033430665474667,0.4355102052128437
LMC semivariogram,station_holdout,13,0.798339195636149,0.42933078746708786
LMC semivariogram,station_holdout,14,0.8071828532086316,0.432025711037531
LMC semivariogram,station_holdout,15,0.7986489942614062,0.43408934259799614
LMC semivariogram,station_holdout,16,0.803798640392709,0.437117801478448
LMC semivariogram,station_holdout,17,0.763724374403076,0.4238919247023367
LMC semivariogram,station_holdout,18,0.7519606487144399,0.41874237416602067
LMC semivariogram,station_holdout,19,0.7609421383331485,0.42131673535410846
LMC semivariogram,station_holdout,2,0.8157353097634671,0.44440381845741594
LMC semivariogram,station_holdout,3,0.8291043290710153,0.4432472176347067
LMC semivariogram,station_holdout,4,0.7693633952691286,0.4223564224199871
LMC semivariogram,station_holdout,5,0.7755552013373727,0.4207453283681641
LMC semivariogram,station_holdout,6,0.8051542855900233,0.44179869434082647
LMC semivariogram,station_holdout,7,0.8197568285630239,0.43499597209268775
LMC semivariogram,station_holdout,8,0.7992223633821616,0.4331063965695589
LMC semivariogram,station_holdout,9,0.8279855841134743,0.4394131123288572
PCA MLE,period_holdout,T=0.01,0.08048632151737929,0.03819776310751435
PCA MLE,period_holdout,T=0.03,0.07452974575726563,0.034935149692390165
PCA MLE,period_holdout,T=0.06,0.20635253006613605,0.10476698792277407
PCA MLE,period_holdout,T=0.1,0.3411073137246164,0.1859539357055632
PCA MLE,period_holdout,T=0.3,0.4540370179117253,0.2545036770811277
PCA MLE,period_holdout,T=0.6,0.43673894553475595,0.2435203370558656
PCA MLE,period_holdout,T=1,0.4951566060175045,0.27672405513289977
PCA MLE,period_holdout,T=3,0.5746149611478923,0.32148356025273905
