display_name,model,n_events,rep,rmse
Pairwise empirical semivariogram,pairwise,80,29,0.0408954822197417
Pairwise empirical semivariogram,pairwise,80,30,0.0177999122228344
Pairwise empirical semivariogram,pairwise,80,31,0.0183536713529748
Pairwise empirical semivariogram,pairwise,80,32,0.0335127947893122
Pairwise empirical semivariogram,pairwise,80,33,0.0472599555747141
Pairwise empirical semivariogram,pairwise,80,34,0.0205301276475981
Pairwise empirical semivariogram,pairwise,80,35,0.0123852474577829
Pairwise empirical semivariogram,pairwise,80,36,0.0200524138817761
Pairwise empirical semivariogram,pairwise,80,37,0.012249745530936
Pairwise empirical semivariogram,pairwise,80,38,0.0304034460635896
Pairwise empirical semivariogram,pairwise,80,39,0.0387149461268813
Pairwise empirical semivariogram,pairwise,80,40,0.0292057392091558
Pairwise empirical semivariogram,pairwise,80,41,0.034110699823451
Pairwise empirical semivariogram,pairwise,80,42,0.0268486062040288
Pairwise empirical semivariogram,pairwise,80,43,0.0458280936433803
Pairwise empirical semivariogram,pairwise,80,44,0.0266772847421688
Pairwise empirical semivariogram,pairwise,80,45,0.0405587372725206
Pairwise empirical semivariogram,pairwise,80,46,0.0092328201740802
Pairwise empirical semivariogram,pairwise,80,47,0.0091607702427672
Pairwise empirical semivariogram,pairwise,80,48,0.0331763774868042
Pairwise empirical semivariogram,pairwise,80,49,0.0099583689769365
Pairwise empirical semivariogram,pairwise,80,50,0.0366592067626897
Pairwise empirical semivariogram,pairwise,80,51,0.0360315784767889
Pairwise empirical semivariogram,pairwise,80,52,0.0197244330827437
Pairwise empirical semivariogram,pairwise,80,53,0.0307997047304055
Pairwise empirical semivariogram,pairwise,80,54,0.048236363773811
Pairwise empirical semivariogram,pairwise,80,55,0.0190482837045442
Pairwise empirical semivariogram,pairwise,80,56,0.020085183806693
Pairwise empirical semivariogram,pairwise,80,57,0.0289382085011269
Pairwise empirical semivariogram,pairwise,80,58,0.0240623946136812
Pairwise empirical semivariogram,pairwise,80,59,0.0253426715642538
Pairwise empirical semivariogram,pairwise,80,60,0.0085865496302586
Pairwise empirical semivariogram,pairwise,80,61,0.0383823127167257
Pairwise empirical semivariogram,pairwise,80,62,0.0254997047830364
Pairwise empirical semivariogram,pairwise,80,63,0.0327544614411553
Pairwise empirical semivariogram,pairwise,80,64,0.0194768517591388
Pairwise empirical semivariogram,pairwise,80,65,0.0172200601693573
Pairwise empirical semivariogram,pairwise,80,66,0.0086320381996678
Pairwise empirical semivariogram,pairwise,80,67,0.02649174933504
Pairwise empirical semivariogram,pairwise,80,68,0.0251731897936251
Pairwise empirical semivariogram,pairwise,80,69,0.0099668961222717
Pairwise empirical semivariogram,pairwise,80,70,0.0155032888665581
Pairwise empirical semivariogram,pairwise,80,71,0.0148669989392596
Pairwise empirical semivariogram,pairwise,80,72,0.0288184853902729
Pairwise empirical semivariogram,pairwise,80,73,0.0250564660142515
Pairwise empirical semivariogram,pairwise,80,74,0.0205481944343712
Pairwise empirical semivariogram,pairwise,80,75,0.0124397057812416
Pairwise empirical semivariogram,pairwise,80,76,0.0488769522270871
Pairwise empirical semivariogram,pairwise,80,77,0.0223720651443802
Pairwise empirical semivariogram,pairwise,80,78,0.0158529578787334
Pairwise empirical semivariogram,pairwise,80,79,0.0290766893513193
Pairwise empirical semivariogram,pairwise,80,80,0.0231366021001164
Pairwise empirical semivariogram,pairwise,80,81,0.0240135776684263
Pairwise empirical semivariogram,pairwise,80,82,0.0539418175879963
Pairwise empirical semivariogram,pairwise,80,83,0.0395231888640769
Pairwise empirical semivariogram,pairwise,80,84,0.0231463597041017
Pairwise empirical semivariogram,pairwise,80,85,0.0284979624373267
Pairwise empirical semivariogram,pairwise,80,86,0.0272537537152444
Pairwise empirical semivariogram,pairwise,80,87,0.0463889817307381
Pairwise empirical semivariogram,pairwise,80,88,0.009349042980257
Pairwise empirical semivariogram,pairwise,80,89,0.0283480860801046
Pairwise empirical semivariogram,pairwise,80,90,0.0123582758496992
Pairwise empirical semivariogram,pairwise,80,91,0.0245238980543618
Pairwise empirical semivariogram,pairwise,80,92,0.0343751167648309
Pairwise empirical semivariogram,pairwise,80,93,0.0222317896061887
Pairwise empirical semivariogram,pairwise,80,94,0.031091613040731
Pairwise empirical semivariogram,pairwise,80,95,0.0141467993143702
Pairwise empirical semivariogram,pairwise,80,96,0.0216076634638417
Pairwise empirical semivariogram,pairwise,80,97,0.0256209825969817
Pairwise empirical semivariogram,pairwise,80,98,0.0368601125815338
Pairwise empirical semivariogram,pairwise,80,99,0.0177356760250191
Pairwise empirical semivariogram,pairwise,100,0,0.0187295901152046
Pairwise empirical semivariogram,pairwise,100,1,0.0211727562000695
Pairwise empirical semivariogram,pairwise,100,2,0.0305404435766774
Pairwise empirical semivariogram,pairwise,100,3,0.034034225917507
Pairwise empirical semivariogram,pairwise,100,4,0.0061152675174832
