method,eqid,n_stations,n_observations,log_likelihood,fit_success,nearest_psd_used,min_eigenvalue_before_repair
LMC block MLE,346,76,666,-438.9800184110741,True,False,0.0032127701368622
LMC semivariogram,346,76,666,-432.3204313263607,True,False,0.0029003189012567
PCA semivariogram,1044,74,518,-235.9375506929739,True,False,0.0027618182729057
PCA MLE,1044,74,518,-231.060573899712,True,False,0.0020773973244246
Kronecker semivariogram,1044,74,518,-248.882762188487,True,False,0.0020153825051759
LMC block MLE,1044,74,518,-239.223982025098,True,False,0.0037896890663484
LMC semivariogram,1044,74,518,-231.0821228140086,True,False,0.0031311546137138
PCA semivariogram,1128,74,625,-362.1988885515272,True,False,0.0030661571546801
PCA MLE,1128,74,625,-366.142499809429,True,False,0.0022521697539645
Kronecker semivariogram,1128,74,625,-362.8706002074911,True,False,0.0027912339307757
LMC block MLE,1128,74,625,-356.7115647314852,True,False,0.0042571982335156
