eqid,_lmc_source_pos,_source_index,_lmc_selected_rank,_lmc_event_rows_available,_lmc_event_rows_selected,station_latitude,station_longitude,scaled_deltaWT001,scaled_deltaWT003,scaled_deltaWT006,scaled_deltaWT010,scaled_deltaWT030,scaled_deltaWT060,scaled_deltaWT100,scaled_deltaWT300,scaled_deltaWT600
113,139,139,2,106,80,33.778,-118.133,-1.150614133427906,-1.1540623241030814,-1.280365364738973,-1.0220053560061024,-1.646456264057915,-0.4088667314190791,0.0664173625277236,0.6594840669599806,
113,137,137,3,106,80,33.881,-118.176,0.8502985571751543,0.7591750202694275,0.6340850382848184,0.2907918319836617,1.1445467559206313,1.662108376473462,2.225834924808158,0.8591687576241902,
113,154,154,4,106,80,34.224,-118.057,0.3884972846704207,0.5940008098437932,1.2447539509075511,-0.0284191309764089,-0.95563355350725,-1.2354133100932247,-0.2962114735778961,0.0507805104228266,
113,175,175,5,106,80,33.944,-118.087,1.741788593857233,1.6207237776348424,1.2464050097776982,1.3030080826050443,1.9239180922363663,2.0923017470991208,1.2617928039713646,0.9462818630833936,
113,170,170,6,106,80,33.74,-118.335,-2.206262600183608,-2.238035886167665,-2.3290998009073185,-1.8074674410798983,-1.5885623644352944,-0.6199814022633284,0.9960806835198548,0.2064204239244591,
113,112,112,7,106,80,34.049,-118.112,1.2492011457886076,1.1145583191448711,1.022446066141429,1.218595070385303,0.8112798553741548,0.1023845309303454,1.357327985393824,,
113,179,179,8,106,80,34.235,-118.366,-0.3910873053950222,-0.4058461025018741,0.2261450812649817,-0.1776547129466998,-0.3845265238503877,-0.5179322552073089,-1.0531056748958438,,
113,123,123,9,106,80,34.062,-118.416,-1.261435840632834,-1.2500316079235554,-1.2273633730252564,-1.167039383051732,-1.7712074315984163,-1.368670663804054,-0.7230143707092597,-1.0334061538777355,
113,167,167,10,106,80,33.96,-118.432,-2.3402421227056887,-2.2383555126975025,-1.9521715067656111,-2.1169570408335154,-1.7232949271903215,-1.1532638001507467,-0.9823329926445724,,
113,169,169,11,106,80,34.104,-117.574,-0.2661764991751613,0.3839557912006296,1.1341737787020092,0.1049447585915464,-1.1946940380368531,-1.592145675837541,-0.5003823606595804,,
113,85,85,12,106,80,33.817,-117.951,-1.5161588969202602,-1.4997463271514062,-1.5966301414605035,-1.4964305900908903,-0.9643997628321314,-1.0914467532037826,-1.1014828923949895,,
113,107,107,13,106,80,33.92,-118.137,1.2119385400231837,1.1888108817651006,1.1419398881996512,0.9474070507253634,1.0393641847303223,1.6308552878932938,1.4267525014655795,0.411400875783655,
113,129,129,14,106,80,34.089,-118.435,-1.4495322048208432,-1.4143735524186634,-1.6377044465282802,-1.3934871117577143,-1.855069187495619,-1.7321191883612137,-1.4509786854038835,-1.1022482976287884,
113,186,186,15,106,80,33.821,-117.818,-0.725453274376105,-0.7733551252235257,-0.6930481504359057,0.1424355747675174,-0.5223168550696975,-1.058818616635285,-1.6306617637552066,,
113,127,127,16,106,80,34.115,-118.244,0.1426198762248483,0.0986028368588343,0.2331988686513402,0.125306042124445,-0.0140442453983662,0.7336330663522752,1.199618163281668,0.8208778515831398,
113,187,187,17,106,80,34.064,-117.952,-0.712173982011533,-0.7635540742506683,-0.8124404671190499,-0.904207509487143,-0.8632636724591629,-1.7208107536574668,-0.3619789567688424,-0.1523201376563265,
113,94,94,18,106,80,33.89,-117.927,1.2854714442844135,1.1541720873005408,0.8854865639930102,0.45492015682905,1.341836191628142,0.2970282707619854,-0.4963399553960688,0.3706972220006458,
113,105,105,19,106,80,34.078,-117.871,-1.8164421605801744,-1.7654543933046538,-0.9500523869144047,-1.6002300158585,-0.8542321397842749,-0.9432538831816188,-0.4771511939206691,-0.7725106603652915,
113,108,108,20,106,80,33.924,-118.167,0.0715356652945611,0.0194100120736933,-0.0616682754339711,-0.2234458099200701,-0.1638518348196383,0.9346047726028872,1.496951664929535,0.0863722034116611,
113,136,136,21,106,80,33.754,-118.2,-1.0763027296474428,-1.0727941235242118,-1.2272549501394605,-1.1742846088211036,-1.426225765100379,0.34695607747073,0.5639657521184835,1.6724502348995631,
113,120,120,22,106,80,34.009,-118.361,0.254652152448007,0.2436328828262152,0.3376642444377749,0.2312912801786917,0.1974508074116399,-0.1485154503646429,-0.1439969230340952,-0.5265362937978225,
113,111,111,23,106,80,33.719,-117.937,-0.5523381194169708,-0.4809748723698615,-0.5767837725450521,-0.8060041660541885,-0.8384042923331047,-0.5508975853386568,-0.9459728495393738,,
